,team,baron,champion,dragon,inhibitor,riftHerald,tower,win
0,0,1,41,3,1,1,5,0
1,1,1,37,1,1,1,9,1
2,0,0,26,1,0,1,4,0
3,1,1,47,2,1,0,9,1
4,0,1,50,4,1,0,5,0
5,1,2,44,2,3,1,10,1
6,0,0,21,1,0,0,0,0
7,1,0,39,3,0,2,6,1
8,0,1,40,4,2,1,10,0
9,1,0,40,1,1,1,7,1
10,0,0,29,1,0,0,3,1
11,1,0,18,1,0,1,2,0
12,0,0,9,1,0,0,0,0
13,1,0,26,1,2,2,9,1
14,0,0,10,0,0,1,1,0
15,1,0,21,3,0,1,4,1
16,0,0,24,3,0,2,3,1
17,1,0,10,0,0,0,0,0
18,0,0,23,1,0,1,2,0
19,1,0,26,2,1,0,8,1
20,0,1,27,1,0,0,6,0
21,1,0,33,3,1,2,8,1
22,0,1,47,3,2,2,8,1
23,1,0,42,1,1,0,7,0
24,0,2,23,0,0,1,6,0
25,1,0,52,4,1,1,8,1
26,0,1,32,2,0,0,4,1
27,1,0,18,2,0,1,4,0
28,0,1,48,1,2,0,10,1
29,1,0,20,2,0,2,4,0
30,0,1,41,2,0,2,5,1
31,1,0,22,0,0,0,1,0
32,0,0,30,1,0,0,5,0
33,1,1,21,1,1,0,6,1
34,0,0,24,2,0,2,5,1
35,1,0,7,0,0,0,0,0
36,0,1,49,2,2,2,9,0
37,1,2,46,3,2,0,9,1
38,0,1,31,2,0,1,7,1
39,1,0,23,1,0,1,4,0
40,0,0,30,0,1,0,4,1
41,1,0,21,0,0,0,0,0
42,0,0,72,0,1,0,4,1
43,1,0,65,0,2,0,3,0
44,0,0,50,0,1,0,4,1
45,1,0,41,0,0,0,2,0
46,0,0,47,0,0,0,1,0
47,1,0,62,0,2,0,4,1
48,0,0,81,0,2,0,4,1
49,1,0,64,0,1,0,2,0
